epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,306.91,0.61713,0.60022,1.01922,0.96023,0.97059,0.98979,0.83387,0.84438,1.19786,1.18985,0.0002576,0.0002576,0.0002576
90,310.718,0.64839,0.65013,1.03882,0.96107,0.97059,0.98854,0.84978,0.81497,1.10811,1.16781,0.0002378,0.0002378,0.0002378
91,315.74,0.58461,0.65019,1.02457,0.91882,0.94118,0.98516,0.82054,0.79509,1.06273,1.13841,0.000218,0.000218,0.000218
92,318.33,0.5257,0.57627,0.98267,0.96711,0.86505,0.97225,0.8105,0.79224,1.11515,1.12899,0.0001982,0.0001982,0.0001982
93,320.955,0.60379,0.61948,0.9985,0.92128,0.91176,0.96872,0.82865,0.776,1.0564,1.11691,0.0001784,0.0001784,0.0001784
94,324.77,0.59651,0.55944,1.01397,0.86652,1,0.98093,0.85115,0.73384,0.90395,1.09019,0.0001586,0.0001586,0.0001586
95,327.278,0.5465,0.54416,0.99915,0.89414,0.99387,0.98422,0.85693,0.66876,0.82925,1.06288,0.0001388,0.0001388,0.0001388
96,329.776,0.52238,0.5375,0.9655,0.91879,0.99829,0.9864,0.86348,0.65436,0.79076,1.06838,0.000119,0.000119,0.000119
97,332.325,0.56161,0.53987,0.98889,0.9182,0.99059,0.98383,0.86652,0.66368,0.87746,1.07354,9.92e-05,9.92e-05,9.92e-05
98,335.242,0.51568,0.54292,0.96928,0.86998,1,0.98193,0.86324,0.67899,0.96316,1.08057,7.94e-05,7.94e-05,7.94e-05
99,338.772,0.49442,0.48703,0.96225,0.94526,0.91176,0.98368,0.85386,0.6967,1.02658,1.08653,5.96e-05,5.96e-05,5.96e-05
100,341.408,0.4996,0.49088,0.94526,0.89363,1,0.98701,0.85426,0.69882,1.05428,1.08367,3.98e-05,3.98e-05,3.98e-05
